Xano ID,Xano Full Name,Xano Child,Xano Children IDs,Xano IsParent,Xano Location,Stripe Customer ID,Xano QuickBooks ID (Current),Xano Subscription ID,QBO Customer ID (AI),QBO Name (AI),AI Confidence,QBO Customer ID (FINAL),QBO Name (FINAL),Notes
244,1-800 Water Damage of Cincinnati & Dayton,False,,False,"Fredericksburg, VA",cus_Oo5tPHfgk7JD6j,1142,0,1142,1-800 Water Damage of Cincinnati & Dayton,EXISTING,,,
215,1-800 Water Damage of Gilbert,False,,False,Gilbert AZ,cus_OXzbY7jRCyp3vu,997,0,997,1-800 Water Damage of Gilbert,EXISTING,,,
322,1-800 Water Damage of Murrieta/Temecula,,,False,"Murrieta/Temecula, California",cus_PkwVIKGrRAbXA2,1216,0,1216,1-800 Water Damage of Murrieta/Temecula,EXISTING,,,
282,1-800 Water Damage of North Dakota,True,,False,"Ann Arbor,North Dakota ",cus_PT0l7cAYTfuw8G,304,0,304,1-800 Water Damage of North Dakota,EXISTING,,,
189,1-800 Water Damage of Southern Passaic County,False,,False,"Southern Passaic, NJ",cus_OBTjNqF4k5Mwkq,950,2,950,1-800 Water Damage of Southern Passaic County,EXISTING,,,
431,1-800 Water Damage of WA and OR,,,False,",",cus_RzBsKz9xcQOFI5,67,0,1507,1-800 Water Damage of WA and OR,100%,,,
268,1-800 Water Damage of West San Jose and Sunnyvale,False,,False,"Sunnyvale, CA",cus_P8ljHoUxoqpbv0,1192,0,1192,1-800 Water Damage of West San Jose and Sunnyvale,EXISTING,,,
1,2nd Best Restoration,False,,False,Paris,cus_QEEZyICGuaMUcO,,12,,,,,,
390,911 Restoration NWI,,,False,",",cus_QXykB3tbPYM8Ma,,0,1373,911 Restoration NWI,100%,,,
168,"911 Restoration of Ventura, Santa Barbara, & San Luis Obispo",False,,False,",",cus_Nx1Ar0iMa3zKWQ,883,0,883,"911 Restoration of Ventura, Santa Barbara, & San Luis Obispo",EXISTING,,,
338,A Plus Cleaning & Restoration Inc.,,,False,"Childersburg, Alabama",cus_Q1MMmniOWZroia,701,0,701,A Plus Cleaning & Restoration Inc.,EXISTING,,,
415,A-1 Rapid Response Restoration,,,False,",",cus_RDBNk4mROl5gIu,,0,1401,A-1 Rapid Response Restoration,100%,,,
293,A1 Quality,,,False,"Shepherdsville, Kentucky",cus_PURaTTR54CMQOh,1272,13,1272,A1 Quality,EXISTING,,,
124,AAAA Retail Test,False,,False,", ",cus_NRUtSmavPF7BV9,1229,0,1229,AAAA Retail Test,EXISTING,,,
72,AACTION Home Repairs & Restoration,False,,False,Maryland,cus_OaVM93LdjvDAbO,1075,0,1075,AACTION Home Repairs & Restoration,EXISTING,,,
122,ABC Contracting Pros,True,,False,"Tamp, Florida",cus_NRQTdpcQ4kaxq7,,0,,,,,,
174,APR Restoration and Commercial Development,False,,False,"Raleigh, NC",cus_O0fEEjf7WIitZH,920,14,920,APR Restoration and Commercial Development,EXISTING,,,
24,ARC Services,False,,False,"Las Vegas, Nevada",cus_MDPsaEYALwNKIY,1069,14,1069,ARC Services,EXISTING,,,
261,ARI Construction,False,,False,"Webster, Texas",cus_P0kV7WpAqW7oWJ,1164,3,1164,ARI Construction,EXISTING,,,
366,"ASA-MMP Construction Partners, LLC",,,False,"Lorton,VA",cus_QNRlfZe7gRZ78G,1342,0,1342,"ASA-MMP Construction Partners, LLC",EXISTING,,,
272,Absolute Design Solution,,,False,"Edgewater,MD",cus_PDeFSdcsNP93ki,1193,0,1193,Absolute Design Solution,EXISTING,,,
398,AbsolutelyDry,False,,False,Indiana,cus_QpyY4AN8xmbRjd,,0,1380,AbsolutelyDry,100%,,,
23,Accent Property Restoration,False,,False,Wisconsin,cus_MDPszXTi1AD5xF,193,0,193,Accent Property Restoration,EXISTING,,,
177,Advanced Disaster Recovery,False,,False,"New Hampton, NY",cus_O1o2s4YHsOKgIK,918,0,918,Advanced Disaster Recovery,EXISTING,,,
105,AirCare Environmental Services,False,,False,Connecticut,cus_NADV6IQuCC3seV,890,0,890,AirCare Environmental Services,EXISTING,,,
279,All Done Construction,,,False,",Austin, TX",cus_PMaFAuDWiJgP1W,1247,0,1247,All Done Construction,EXISTING,,,
86,All Restored Inc,False,,False,Delaware,cus_MePMmFOTgMOUot,557,2,557,All Restored Inc,EXISTING,,,
192,Allied Restoration,False,,False, West Covina CA,cus_OFZhFiKAvVg92b,955,0,955,Allied Restoration,EXISTING,,,
237,Alpha Environmental,False,,False,"Beaverton, OR",cus_OjD9zkYQszbSuG,1072,5,1072,Alpha Environmental,EXISTING,,,
358,Alvarez Restoration and Construction,,,False,"Central Point,OR",cus_QH57WARkBl8MXr,1334,0,1334,Alvarez Restoration and Construction,EXISTING,,,
254,AmeriTribe,False,,False,"Chesapeake, VA",cus_OvaS7v3FkHxrvm,1160,0,1160,AmeriTribe,EXISTING,,,
317,"Apex Builders, Inc",,,False,"Portland, OR",cus_PiORlJ45wdTM2n,1244,0,1244,"Apex Builders, Inc",EXISTING,,,
140,Aquafirst WA,False,,False,Florida,cus_NcFotGvGaefucT,1196,0,1196,Aquafirst WA,EXISTING,,,
225,Asap Restoration,False,,False,"Atlanta, GA",cus_OcrFz9xpCQjyoF,1023,0,1023,Asap Restoration,EXISTING,,,
357,Atlantic Restoration & Remodeling Group,True,,False,"New Britain,New Britain, CT",cus_QF9BV7EBGJMGJ5,1333,0,1333,Atlantic Restoration & Remodeling Group,EXISTING,,,
155,B&G Excavation and Plumbing,False,,False,"Damascus, Oregon",cus_NpjbsVKnPX6oBU,865,13,865,B&G Excavation and Plumbing,EXISTING,,,
187,BISON Restoration Services,False,,False,"Oklahoma City, OK",cus_O9bOrOvY99mnY1,1194,0,1194,BISON Restoration Services,EXISTING,,,
449,BMS CAT,False,,False,"Haltom City, Texas",cus_T7xx7gcT84Wliq,,14,,,,,,
380,BOR of Tulsa,True,,False,"Tulsa, OK",,,0,,,,,,
287,Beacon Restoration,,,False,"Winter Park,FL",cus_PTiJNl2jJ9D4RG,1268,0,1268,Beacon Restoration,EXISTING,,,
408,Best Option Restoration of Montgomery County ,,,False,"Ambler, PA",cus_QzML9ElwwBTkkH,,12,1392,Best Option Restoration of Montgomery County,100%,,,
12,Big Red Restoration,False,,False,Kentucky,,1195,0,1195,Big Red Restoration,EXISTING,,,
163,Blake Services,False,,False,"Placentia, CA",cus_NuerY0zsKsq8qy,884,0,884,Blake Services,EXISTING,,,
9,BluSky Restoration (frmly Liberty),False,,False,Utah,cus_MDPvTpJza9PdKu,574,0,574,BluSky Restoration (frmly Liberty),EXISTING,,,
160,Blue Dot Restoration,True,,False,", NY",cus_NrIQ4BGVw3OlRs,858,0,858,Blue Dot Restoration,EXISTING,,,
257,Blue Line Home Contractors,False,,False,"Wyckoff, NJ",cus_OyFRB8mm9quKCj,1159,2,1159,Blue Line Home Contractors,EXISTING,,,
230,Blue Line Restoration LLC,False,,False,", ",cus_OfTu1Lg5maSchx,1027,0,1027,Blue Line Restoration LLC,EXISTING,,,
40,BlueBear,False,,False,New York,cus_MzjzaydUj6N47j,36,0,36,Blue Bear Restoration,EXISTING,,,
